defName	label_en	slots	mealKind	contraintes
FlavorText_Scrambled_Egg_2	scrambled {0_coll}	0=Egg	MealsBaby	
FlavorText_Ingredients_Ingredients_Mash	{0_adj} {1_adj} mash	0=Ingredients 1=Ingredients	MealsBaby	
FlavorText_Ingredients_Ingredients_Mash_2	{0_adj} {1_adj} mash	0=Ingredients 1=Ingredients 2=Ingredients	MealsBaby	
FlavorText_Ingredients_Mash_2	{0_adj} mash	0=Ingredients	MealsBaby	
FlavorText_Milk_Bottle	{0_adj} bottle	0=Milk	MealsBaby	
FlavorText_PlantFoodRaw_Puree	{0_adj} purée	0=PlantFoodRaw	MealsBaby	
FlavorText_FairyBread	fairy bread	0=Dairy 1=Grain 2=Sugar	MealsBake,MealsDessert	
FlavorText_Ingredients_Muffins	{1_adj} muffins	0=Grain 1=Ingredients	MealsBake,MealsDessert	
FlavorText_Ingredients_Muffins_2	{1_adj} muffins	0=Grain 1=Ingredients 2=Ingredients	MealsBake,MealsDessert	
FlavorText_Spice_SwirlToast	{2_adj} swirl toast	0=Grain 1=AnimalProductRaw 2=Spice/Sugar	MealsBake,MealsDessert	
FlavorText_Beigli	beigli	0=Grain 1=Nut 2=Sugar/Fruit/Dairy	MealsBake,MealsDessert	
FlavorText_StarBread	star bread	0=Grain 1=Dairy	MealsBake,MealsDessert	
FlavorText_ThreeKingsCake	three kings cake	0=Grain 1=AnimalProductRaw 2=Fruit/Sugar	MealsBake,MealsDessert	
FlavorText_Ingredients_Pie	{0_adj} pie	0=Ingredients 1=Wheat 2=Sugar	MealsBake,MealsDessert	
FlavorText_Ingredients_Tart	{0_adj} tart	0=Ingredients 1=Grain	MealsBake,MealsDessert	
FlavorText_BostonBun	Boston bun	0=Potato 1=Grain 2=Coconut	MealsBake,MealsDessert	
FlavorText_Ingredients_Empanadas	{0_adj} empanadas	0=Ingredients 1=Milk 2=Wheat	MealsBake,MealsDumpling,MealsSandwich	
FlavorText_Ingredients_Paratha	{0_adj} paratha	0=Ingredients 1=Milk 2=Grain	MealsBake,MealsDumpling,MealsSandwich	
FlavorText_Calzone	calzone	0=MeatRaw 1=Milk 2=Wheat	MealsBake,MealsDumpling,MealsSandwich	
FlavorText_CornishPasty	Cornish pasty	0=Potato/Onion/Turnip 1=Meat_Cow 2=Wheat	MealsBake,MealsDumpling,MealsSandwich	
