defName	label_en	slots	mealKind	contraintes
FlavorText_Sugar_Candy	{0_adj} candy	0=Sugar	MealsDessert	
FlavorText_Dairy_Candy	{1_adj} candy	0=Sugar 1=Dairy	MealsDessert	
FlavorText_Fruit_Jam	{1_adj} jam	0=Sugar 1=Fruit	MealsDessert	
FlavorText_Fruit_Tanghulu	{1_adj} tanghulu	0=Sugar 1=Fruit	MealsDessert	
FlavorText_Citrus_TurkishDelight	{1_adj} Turkish delight	0=Sugar 1=Citrus/Nut/Flower	MealsDessert	
FlavorText_Ambrosia	ambrosia	0=Sugar 1=Dairy 2=Fruit/Dairy	MealsDessert	
FlavorText_Candied_Citrus_Peel	candied {1_adj} peel	0=Sugar 1=Citrus	MealsDessert	
FlavorText_Candied_Nut	candied {1_coll}	0=Sugar 1=Nut	MealsDessert	
FlavorText_Chocolate-CoatedMarshmallowTreats	chocolate-coated marshmallow treats	0=Sugar 1=Chocolate	MealsDessert	
FlavorText_DragonsBeardCandy	dragon's beard candy	0=Sugar 1=Nut 2=Coconut/Seed/Grain	MealsDessert	
FlavorText_Khabisa	khabisa	0=Sugar 1=Nut 2=Grain	MealsDessert	
FlavorText_Kutya	kutya	0=Sugar 1=Fruit 2=Rice	MealsDessert	
FlavorText_Raggmunkar	raggmunkar	0=Sugar 1=Fruit 2=Potato	MealsDessert	
FlavorText_Savillum	savillum	0=Sugar 1=Dairy 2=Grain	MealsDessert	
FlavorText_Tembleque	tembleque	0=Sugar 1=Coconut	MealsDessert	
FlavorText_Fruitcake	fruitcake	0=Wheat 1=Fruit 2=Nut	MealsDessert	
FlavorText_Knafeh	knafeh	0=Wheat 1=Sugar 2=Dairy	MealsDessert	
FlavorText_Asida	asida	0=Wheat/Millet/Barley 1=Milk 2=SugarFromAnimals/Date	MealsDessert	
FlavorText_MuzluSut	muzlu sut	0=Banana 1=Dairy	MealsDrink,MealsDessert	
FlavorText_Boza	boza	0=Corn 1=Wheat	MealsDrink,MealsDessert	
FlavorText_ChichaMorada	chicha morada	0=Corn 1=Apple/Pear 2=Pineapple	MealsDrink,MealsDessert	
FlavorText_Salep	salep	0=Dairy 1=Flower/Grain	MealsDrink,MealsDessert	
FlavorText_Eggnog	eggnog	0=Egg 1=Milk 2=Spice	MealsDrink,MealsDessert	
FlavorText_Atole	atole	0=Sugar 1=Corn	MealsDrink,MealsDessert	
FlavorText_Horchata	horchata	0=Sugar 1=Rice	MealsDrink,MealsDessert	
FlavorText_Ingredients_HealthDrink	{0_adj} health drink	0=Ingredients 1=Ingredients	MealsDrink,MealsPaste	
FlavorText_Ingredients_Juice	{0_adj} juice	0=Ingredients	MealsDrink,MealsPaste	
FlavorText_Ingredients_Smoothie	{0_adj} smoothie	0=Ingredients 1=Ingredients 2=Ingredients	MealsDrink,MealsPaste	
