defName	label_en	slots	mealKind	contraintes
FlavorText_Meatloaf	meatloaf	0=MeatRaw 1=MeatRaw 2=MeatRaw	MealsNonSpecial	
FlavorText_MincemeatPie	mincemeat pie	0=MeatRaw 1=Wheat 2=Fruit	MealsNonSpecial	
FlavorText_Picadillo	picadillo	0=MeatRaw 1=Tomato 2=Berry	MealsNonSpecial	
FlavorText_PyttIPanna	pytt i panna	0=MeatRaw 1=Potato/Onion	MealsNonSpecial	
FlavorText_PyttIPanna_2	pytt i panna	0=MeatRaw 1=Potato/Onion 2=Beet/Potato/Onion/Egg/Cucumber	MealsNonSpecial	
FlavorText_SwedishMeatballs	swedish meatballs	0=MeatRaw 1=Fruit 2=Potato	MealsNonSpecial	
FlavorText_MeatRaw_Stroganoff_2	{0_adj} stroganoff	0=MeatRaw/Fungus 1=Dairy	MealsNonSpecial	
FlavorText_Murtabak	murtabak	0=MeatRaw/Onion 1=Egg 2=Wheat	MealsNonSpecial	
FlavorText_Fried_Ingredients_With_MeatRaw	fried {1_coll} with {0_coll}	0=MeatRaw/PlantFoodRaw 1=Ingredients	MealsNonSpecial	
FlavorText_Colcannon	colcannon	0=Milk 1=Potato 2=LeafyVeg	MealsNonSpecial	
FlavorText_PotatosObrien	potatos o'brien	0=Onion 1=Potato 2=BellPepper	MealsNonSpecial	
FlavorText_PlantFoodRaw_Stoemp	{0_adj} stoemp	0=PlantFoodRaw 1=Potato	MealsNonSpecial	
FlavorText_PlantFoodRaw_WooltonPie	{1_adj} woolton pie	0=PlantFoodRaw 1=PlantFoodRaw 2=Potato	MealsNonSpecial	
FlavorText_BatataHarra	batata harra	0=Potato 1=Chili	MealsNonSpecial	
FlavorText_BombayPotatoes	bombay potatoes	0=Potato 1=Chili 2=Spice	MealsNonSpecial	
FlavorText_BubbleAndSqueak	bubble and squeak	0=Potato 1=Cabbage	MealsNonSpecial	
FlavorText_Clapshot	clapshot	0=Potato 1=Turnip	MealsNonSpecial	
FlavorText_HashBrowns	hash browns	0=Potato	MealsNonSpecial	
FlavorText_HasselbackPotatoes	Hasselback potatoes	0=Potato	MealsNonSpecial	
FlavorText_SwedishDill_Potato	Swedish dill {0_plur}	0=Potato 1=Dairy	MealsNonSpecial	
FlavorText_Skordalia	skordalia	0=Potato/Nut 1=Garlic	MealsNonSpecial	
FlavorText_BaioDeDois	baião de dois	0=Rice 1=Bean	MealsNonSpecial	
FlavorText_BaioDeDois_2	baião de dois	0=Rice 1=Bean 2=MeatRaw/Dairy/Onion/Tomato/Chili/Cassava	MealsNonSpecial	
FlavorText_BanhXeo	bánh xèo	0=Rice 1=Meat_Shellfish/Bean 2=Vegetable	MealsNonSpecial	
