defName	label_en	slots	mealKind	contraintes
FlavorText_Ingredients_Salad	{0_adj} salad	0=Ingredients 1=Ingredients	MealsSalad	
FlavorText_Ingredients_Salad_2	{0_adj} salad	0=Ingredients 1=Meat_Poultry 2=Egg	MealsSalad	
FlavorText_Ingredients_Szalot	{1_adj} szalot	0=Ingredients 1=Ingredients 2=Potato	MealsSalad	
FlavorText_Fleischsalat	fleischsalat	0=Ingredients 1=MeatRaw 2=Egg	MealsSalad	
FlavorText_NourishBowl	nourish bowl	0=Ingredients 1=Ingredients 2=Nut	MealsSalad	
FlavorText_Pickled_Ingredients	pickled {0_coll}	0=Ingredients	MealsSalad	
FlavorText_Kelp_Salad	{0_adj} salad	0=Kelp 1=Soy/Meat_Dryad	MealsSalad	
FlavorText_Esqueixada	esqueixada	0=Meat_Fish 1=Tomato/Onion/Eggplant/BellPepper 2=Egg/Olive/Tomato/Onion/Eggplant/BellPepper	MealsSalad	
FlavorText_MeatRaw_Salad	{0_adj} salad	0=MeatRaw 1=Egg	MealsSalad	
FlavorText_CandleSalad	candle salad	0=Pineapple 1=Banana	MealsSalad	
FlavorText_PlantFoodRaw_Salad	{0_adj} salad	0=PlantFoodRaw 1=PlantFoodRaw	MealsSalad	
FlavorText_Sweet_Corn_Salad	sweet {2_adj} salad	0=Sugar 1=Fruit 2=Corn	MealsSalad	
FlavorText_Sweet_Fungus_Salad	sweet {2_adj} salad	0=Sugar 1=Fruit 2=Fungus	MealsSalad	
FlavorText_FarmersSalad	Farmer's salad	0=Vegetable 1=Vegetable 2=Milk	MealsSalad	
FlavorText_Kisir	kısır	0=Wheat 1=Tomato 2=Fruit	MealsSalad	
FlavorText_Lahmacun	lahmacun	0=Grain 1=MeatRaw 2=BellPepper/Eggplant/Onion	MealsSandwich,MealsBake,MealsGrill	
FlavorText_Ingredients_Pide	{1_adj} pide	0=Grain 1=Ingredients	MealsSandwich,MealsBake	
