defName	label_en	slots	mealKind	contraintes
FlavorText_NachosAndSalsa	nachos and salsa	0=Dairy 1=Tomato 2=PlantFoodRaw	MealsSnack	
FlavorText_PizzaRolls	pizza rolls	0=Dairy 1=Tomato 2=Grain	MealsSnack	
FlavorText_SpanishOmelette	Spanish omelette	0=Egg 1=Potato 2=Onion	MealsSnack	
FlavorText_Escalivada	escalivada	0=Eggplant 1=BellPepper 2=Tomato/Onion/Garlic	MealsSnack	
FlavorText_Fruit_GummySnacks	{0_adj} gummy snacks	0=Fruit	MealsSnack	
FlavorText_TrailMix	trail mix	0=Fruit 1=Nut	MealsSnack	
FlavorText_Pretzel	pretzel	0=Grain	MealsSnack	
FlavorText_Ingredients_Popcorn	{0_adj} popcorn	0=Ingredients 1=Corn	MealsSnack	
FlavorText_Ingredients_PowerBar	{0_adj} power bar	0=Ingredients 1=Ingredients 2=Ingredients	MealsSnack	
FlavorText_Ingredients_With_Ingredients_Dip	{0_coll} with {1_adj} dip	0=Ingredients 1=Ingredients	MealsSnack	
FlavorText_PlantFoodRaw_ChipsAndDip	{2_adj} chips and dip	0=Ingredients 1=PlantFoodRaw 2=PlantFoodRaw	MealsSnack	
FlavorText_Dried_Ingredients	dried {0_coll}	0=Ingredients	MealsSnack	
FlavorText_Instant_Ingredients_Ramen	instant {0_adj} ramen	0=Ingredients 1=Grain	MealsSnack	
FlavorText_MeatRaw_Jerky	{0_adj} jerky	0=MeatRaw	MealsSnack	
FlavorText_DinoNuggets	dino nuggets	0=MeatRaw 1=MeatRaw 2=MeatRaw	MealsSnack	
FlavorText_GranolaBar	granola bar	0=Oat 1=Sugar/Nut/Fruit	MealsSnack	
FlavorText_PlantFoodRaw_Chips	{0_adj} chips	0=PlantFoodRaw	MealsSnack	
FlavorText_ProteinBar	protein bar	0=PlantFoodRaw/AnimalProductRaw 1=PlantFoodRaw/AnimalProductRaw	MealsSnack	
FlavorText_Rice_Crackers	{0_adj} crackers	0=Rice	MealsSnack	
FlavorText_Rice_KrispiesTreats	{0_adj} Krispies treats	0=Rice 1=Sugar	MealsSnack	
FlavorText_Mukhwas	mukhwas	0=Seed/Spice 1=Sugar	MealsSnack	
FlavorText_KettleCorn	kettle corn	0=Sugar 1=Corn	MealsSnack	
FlavorText_GinataangMais	ginataang mais	0=Coconut 1=Corn 2=Rice	MealsSoup,MealsDessert	
FlavorText_Ingredients_TongSui	{0_adj} tong sui	0=Ingredients 1=Sugar	MealsSoup,MealsDessert	
FlavorText_SnowFungusSoup	snow fungus soup	0=Sugar 1=Fungus	MealsSoup,MealsDessert	
FlavorText_Poi	poi	0=Taro	MealsSoup,MealsDessert	
FlavorText_EbaWith_Ingredients_Stew	eba with {0_adj} stew	0=Ingredients 1=Cassava	MealsSoup,MealsDumpling	
FlavorText_UgaliAnd_Ingredients_Stew	ugali and {0_adj} stew	0=Ingredients 1=Corn 2=Potato	MealsSoup,MealsDumpling	
FlavorText_RagdaPattice	ragda pattice	0=Potato 1=Pea 2=Spice	MealsSoup,MealsDumpling	
FlavorText_Tikourbabine	tikourbabine	0=Wheat 1=PlantFoodRaw 2=Ingredients	MealsSoup,MealsNoodle,MealsDumpling	
FlavorText_Sujebi	sujebi	0=Meat_Seafood 1=Grain 2=Vegetable	MealsSoup,MealsNoodle	
FlavorText_Etouffee	étouffée	0=Meat_Shellfish 1=Rice	MealsSoup,MealsNoodle	
