defName	label_en	slots	mealKind	contraintes
FlavorText_Shumai	shumai	0=Meat_Pig/Meat_Fish/Meat_Sheep/Meat_Cow 1=Fungus/Meat_Shellfish/Rice 2=Grain	MealsDumpling	
FlavorText_Meat_Seafood_Sushi	{0_adj} sushi	0=Meat_Seafood/PlantFoodRaw 1=Ingredients 2=Rice	MealsDumpling	
FlavorText_MeatRaw_Lumpia	{0_adj} lumpia	0=MeatRaw 1=Vegetable 2=Grain	MealsDumpling	
FlavorText_MeatRaw_Sarma	{0_adj} sarma	0=MeatRaw 1=Vegetable 2=Rice	MealsDumpling	
FlavorText_MeatRaw_Wontons	{0_adj} wontons	0=MeatRaw 1=Sugar 2=Rice	MealsDumpling	
FlavorText_Tsampa	tsampa	0=Milk 1=Grain 2=Tea	MealsDumpling	
FlavorText_PlantFoodRaw_SpringRolls	{1_adj} spring rolls	0=PlantFoodRaw 1=PlantFoodRaw 2=Rice	MealsDumpling	
FlavorText_Rice_Balls	{0_adj} balls	0=Rice	MealsDumpling	
FlavorText_Bean_Mochi	{2_adj} mochi	0=Rice 1=Sugar 2=Bean/Fruit	MealsDumpling	
FlavorText_Dango	dango	0=Rice 1=Rice 2=Sugar/RedBean	MealsDumpling	
FlavorText_Dolma	dolma	0=Rice 1=Ingredients 2=Eggplant/Cucumber/Squash/BellPepper/Apple/Onion	MealsDumpling	
FlavorText_Dolma_2	dolma	0=Rice 1=Ingredients 2=Meat_Mammal	MealsDumpling	
FlavorText_Dosa	dosa	0=Rice 1=Bean	MealsDumpling	
FlavorText_Idli	idli	0=Rice 1=Lentil	MealsDumpling	
FlavorText_Jeungpyeon	jeungpyeon	0=Rice 1=Rice	MealsDumpling	
FlavorText_Tteok	tteok	0=Rice	MealsDumpling	
FlavorText_SarimsakliKofte	sarımsaklı köfte	0=Wheat 1=Tomato 2=Garlic	MealsDumpling	
FlavorText_Currywurst	currywurst	0=MeatRaw 1=Tomato	MealsGrill,MealsNonSpecial	
FlavorText_Kastane	kastane	0=Chestnut	MealsGrill,MealsSnack	
FlavorText_CigKofte	çiğ köfte	0=Grain/MeatRaw/Egg 1=Onion 2=Tomato/Chili	MealsGrill,MealsSnack	
FlavorText_Misir	mısır	0=Corn	MealsGrill	poste:Fire
FlavorText_Elote	elote	0=Egg 1=Dairy 2=Corn	MealsGrill	poste:Fire
FlavorText_Ingredients_Roast	{0_adj} roast	0=Ingredients 1=Ingredients 2=Ingredients	MealsGrill	
FlavorText_MeatRaw_KoreanBBQ	{2_adj} Korean BBQ	0=Ingredients 1=MeatRaw 2=MeatRaw	MealsGrill	
FlavorText_Barbecued_Ingredients	barbecued {0_coll}	0=Ingredients	MealsGrill	
FlavorText_Roasted_Ingredients_And_Ingredients	roasted {0_coll} and {1_coll}	0=Ingredients 1=Ingredients	MealsGrill	
FlavorText_Cevapi	cevapi	0=Meat_Cow 1=Meat_Hoofed	MealsGrill	
FlavorText_HamburgerSteak	hamburger steak	0=Meat_Cow 1=Onion	MealsGrill	
FlavorText_JapaneseHamburgerSteak	Japanese hamburger steak	0=Meat_Cow 1=Meat_Pig	MealsGrill	
FlavorText_SalisburySteak	Salisbury steak	0=Meat_Cow 1=Onion 2=Fungus	MealsGrill	
FlavorText_Steak	steak	0=Meat_Cow	MealsGrill	
FlavorText_Bulgogi	bulgogi	0=Meat_Hoofed 1=Soy/Meat_Dryad	MealsGrill	
